D,W,A
0.264742,0.0119355,0.0926792
0.271256,0.0120858,0.09668
0.277422,0.0121643,0.103806
0.289228,0.0125879,0.107757
0.290865,0.012868,0.111109
0.293667,0.0129833,0.113023
0.305058,0.0132886,0.115987
0.308226,0.0134734,0.116106
0.308352,0.0136646,0.117454
0.309076,0.0141404,0.119037
0.312784,0.0144948,0.120221
0.313623,0.0146043,0.122963
0.315161,0.0146584,0.125463
0.315902,0.0149313,0.127097
0.318329,0.0153267,0.129927
0.320685,0.0153627,0.130527
0.32381,0.0153785,0.131
0.325429,0.0154556,0.131294
0.325843,0.0156888,0.13203
0.32604,0.0160338,0.132344
0.326714,0.0162086,0.133074
0.327694,0.0162988,0.135191
0.328614,0.0163441,0.135467
0.328614,0.0165217,0.135555
0.328821,0.0165541,0.135863
0.329225,0.0168452,0.136079
0.331444,0.0169338,0.137367
0.333969,0.0169604,0.137566
0.335967,0.0170351,0.13792
0.337449,0.0172129,0.139478
0.337449,0.0172511,0.140266
0.337603,0.017343,0.140947
0.338618,0.0174152,0.141478
0.338752,0.0174518,0.141664
0.338752,0.0175566,0.141971
0.338853,0.0175626,0.142393
0.340191,0.0176605,0.142598
0.340191,0.0176654,0.143572
0.340395,0.0177638,0.14362
0.34187,0.0177752,0.14395
0.342351,0.0177883,0.143978
0.34279,0.0177904,0.144611
0.34279,0.0178518,0.144856
0.342987,0.0180318,0.145989
0.342987,0.0182475,0.146437
0.343457,0.0184533,0.147279
0.343457,0.0184757,0.1473
0.343612,0.0184903,0.147427
0.343861,0.0184927,0.147949
0.344331,0.0186415,0.148697
0.344398,0.0186425,0.148746
0.345578,0.0187754,0.149272
0.345771,0.0188301,0.149451
0.345771,0.0188373,0.149542
0.346941,0.0189219,0.149708
0.34765,0.0189656,0.14974
0.348019,0.0190783,0.149923
0.348419,0.0190909,0.15012
0.348851,0.0191236,0.150362
0.348953,0.0191645,0.150408
0.349177,0.0192112,0.150524
0.350719,0.0192469,0.150741
0.350817,0.0192561,0.151033
0.350817,0.019264,0.151588
0.351031,0.0193426,0.151655
0.35165,0.0193653,0.152079
0.352036,0.0193737,0.152132
0.352454,0.0194226,0.152658
0.353995,0.0194309,0.154082
0.355165,0.0194575,0.154114
0.356341,0.0194707,0.154132
0.356341,0.0194917,0.154251
0.356724,0.0194965,0.154732
0.35698,0.019544,0.155092
0.35725,0.019554,0.155136
0.35725,0.0196119,0.15558
0.357882,0.0196184,0.155905
0.358192,0.019679,0.156006
0.358592,0.0197071,0.15641
0.358595,0.0197831,0.157115
0.358617,0.0199394,0.157284
0.358873,0.0199727,0.157294
0.359413,0.0199897,0.157609
0.359456,0.0200323,0.157722
0.359842,0.0200892,0.157725
0.360825,0.0200906,0.158542
0.360825,0.0201186,0.158746
0.361271,0.0201558,0.158816
0.361271,0.0201862,0.158998
0.361271,0.0202896,0.159578
0.361865,0.020374,0.160789
0.362205,0.0203931,0.161257
0.362416,0.0204154,0.161307
0.362416,0.0204422,0.161493
0.362416,0.0204489,0.161521
0.362764,0.020458,0.161742
0.363333,0.0204623,0.162168
0.36354,0.020479,0.162639
0.36354,0.0204815,0.162647
0.36361,0.0204875,0.163133
0.36361,0.0204898,0.163263
0.364312,0.0205104,0.163374
0.364312,0.0205659,0.163558
0.36473,0.0207268,0.16396
0.365425,0.0207371,0.163999
0.365425,0.0207817,0.164198
0.365587,0.0208068,0.164245
0.365875,0.0208293,0.164509
